check,passed,detail
manifest_coverage,True,154
all_manifest_hashes,True,[]
source_hash_vs_environment_and_gate,True,858c1389d6b334900d7ed06a232e0b4d4a5b94993bb64fa66583638246b4f8e0
exported_config_matches_source_confirm,True,
recorded_cpu_tests_passed,True,
recorded_gpu_gate_passed,True,21
numeric_tolerances_rechecked,True,
calibration_coverage_and_uniqueness,True,20/20
calibration_all_successful,True,
calibration_paired_seed_metadata,True,
evaluation_coverage_and_uniqueness,True,90/90
evaluation_all_successful,True,
evaluation_paired_seed_metadata,True,
training_coverage_and_uniqueness,True,18/18
training_all_successful,True,
training_paired_seed_metadata,True,
wall_time_formulas,True,
positive_finite_timing,True,
memory_arithmetic_and_order,True,
operator_iterations_and_scaling,True,
operator_throughput_formulas,True,
training_optimizer_steps_no_skips,True,
training_measurement_counts,True,
training_losses_and_scales_finite,True,
training_token_throughput_formulas,True,
training_memory_budget,True,
training_shapes_parameter_counts_and_plan,True,
operator_summary_recomputed,True,
training_summary_recomputed,True,
calibration_evaluation_shapes_disjoint,True,
planner_shapes_calibration_only,True,
calibration_cost_includes_cuda_jobs,True,total_ms=2582.313480999972; cuda_jobs_ms=2577.562176999976
frozen_decision_coverage,True,
frozen_predictions_and_choices_recomputed,True,
all_selected_budgets_met,True,
policy_summary_recomputed,True,
coverage_table_matches_complete_trials,True,
