check,passed,detail
manifest_coverage,True,32
manifest_hashes,True,
followup_runner_hash,True,
source_hash,True,
source_matches_initial,True,
configuration_changes_only_as_declared,True,
saved_environments_match,True,
posthoc_selection_disclosed,True,
repository_engine_matches_recorded_bytes,True,
repository_followup_runner_matches_recorded_bytes,True,
preflight_coverage,True,
preflight_tolerances_rechecked,True,
trial_coverage_unique,True,
all_statuses_ok,True,
schedule_coverage_seeds,True,
paired_seeds,True,
measured_warmup_counts,True,
optimizer_steps_no_skips,True,
finite_loss_trajectories,True,
workload_shapes,True,
matched_chunks_fixed_plan,True,
time_and_token_formulas,True,
memory_accounting,True,
whole_training_budget,True,
summary_recomputed,True,
paired_results_recomputed,True,
saved_coverage_matches,True,
